opportunity_id,request_id,title,company,market,location,job_url,version,status,output_path,created_at,source
stepstone-de_14314571,K:stepstone-de_14314571,"Spezialist Risk Management (m/w/d) mit Schwerpunkt Risk Reporting, Automation & Data Analysis in Vollzeit",Airbus Bank GmbH,Germany,München,,1.0,Revision requested,PDF: https://chatgpt.com/api/library/files/libfile_09c510ea19288191bda0f2b57b7d3c15/download; DOCX: https://chatgpt.com/api/library/files/libfile_8e6a639f4a308191878db08a3db1297f/download; Cover letter: https://chatgpt.com/api/library/files/libfile_74bd256f52108191acce185a1bd5c437/download,2026-09-04T21:09:21Z,Library
stepstone-de_14428838,K:stepstone-de_14428838,M&A Consultant (m/w/d) Unternehmensgruppe,Fonds Finanz Maklerservice GmbH,Germany,München,,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_e6e6693ec78481919fdbe58e716da5aa/download; DOCX: https://chatgpt.com/api/library/files/libfile_6aed5481e4dc819199d3b27e42fcb4b6/download; Cover letter: https://chatgpt.com/api/library/files/libfile_4fbc71ddb6108191a63910e73dd1c293/download,2026-09-04T21:09:29Z,Library
stepstone-de_14317130,K:stepstone-de_14317130,Specialist (m/w/d) Financial Risk Management,KNDS,Germany,München,https://www.stepstone.de/stellenangebote--Specialist-m-w-d-Financial-Risk-Management-Muenchen-KNDS--14317130-inline.html,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_abc3f9ae68c08191abccacee4fc373ba/download; DOCX: https://chatgpt.com/api/library/files/libfile_b4589f4abce08191ac1e348d60efea5a/download; Cover letter: https://chatgpt.com/api/library/files/libfile_8df682c397248191818912c2fa4852f0/download,2026-09-04T21:09:34Z,Library
efinancialcareers_24697631,K:efinancialcareers_24697631,Quant & Analytics Consultant - Financial Services Risk Consulting,EY,Switzerland,Zurich,,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_f962fabd27d88191a8868d64f8586cd7/download; DOCX: https://chatgpt.com/api/library/files/libfile_ea8cb6f360e08191b141b3fa06e05549/download; Cover letter: https://chatgpt.com/api/library/files/libfile_aac7b44f2e6c8191b20718b3870fe4d8/download,2026-09-04T21:09:41Z,Library
efinancialcareers_24738611,K:efinancialcareers_24738611,Market and Liquidity Risk Model Validation (all genders),Erste Group Bank AG,Austria,Vienna,,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_3e934df3f4908191bc7a49eb8e4d2864/download; DOCX: https://chatgpt.com/api/library/files/libfile_1e04e21645f481919dfab091dd9e7402/download; Cover letter: https://chatgpt.com/api/library/files/libfile_ec48cc3a4698819183b91493bd3dd258/download,2026-09-04T21:09:48Z,Library
stepstone-de_14317130,K:stepstone-de_14317130,Specialist (m/w/d) Financial Risk Management,KNDS,Germany,München,https://www.stepstone.de/stellenangebote--Specialist-m-w-d-Financial-Risk-Management-Muenchen-KNDS--14317130-inline.html,2.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_a0cc04c0fad081919b2c039f95ae742e/download; DOCX: https://chatgpt.com/api/library/files/libfile_e20672903f5c8191845425baa2b92222/download; Cover letter: https://chatgpt.com/api/library/files/libfile_8df682c397248191818912c2fa4852f0/download,2026-09-06T21:30:00Z,Library
stepstone-de_14317130,K:stepstone-de_14317130,Specialist (m/w/d) Financial Risk Management,KNDS,Germany,München,https://www.stepstone.de/stellenangebote--Specialist-m-w-d-Financial-Risk-Management-Muenchen-KNDS--14317130-inline.html,3.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_10e8e502f824819180501f91e7b04d68/download; DOCX: https://chatgpt.com/api/library/files/libfile_5b71f73058048191b360692d5b7bf415/download; Cover letter: https://chatgpt.com/api/library/files/libfile_8df682c397248191818912c2fa4852f0/download,2026-09-06T21:45:00Z,Library
stepstone-de_14317130,K:stepstone-de_14317130,Specialist (m/w/d) Financial Risk Management,KNDS,Germany,München,https://www.stepstone.de/stellenangebote--Specialist-m-w-d-Financial-Risk-Management-Muenchen-KNDS--14317130-inline.html,4.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_2c6ae6cacbdc81919963c5a89c4b4177/download; DOCX: https://chatgpt.com/api/library/files/libfile_f5bc9821f61481918605921584ea35da/download; Cover letter: https://chatgpt.com/api/library/files/libfile_8df682c397248191818912c2fa4852f0/download,2026-09-06T22:00:00Z,Library
,,,,,,,,,,,
stepstone-de_14317130,K:stepstone-de_14317130,Specialist (m/w/d) Financial Risk Management,KNDS,Germany,München,https://www.stepstone.de/stellenangebote--Specialist-m-w-d-Financial-Risk-Management-Muenchen-KNDS--14317130-inline.html,5.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_15e4c5dbfabc8191b4f7d5b737623163/download; DOCX: https://chatgpt.com/api/library/files/libfile_021c0987e9ac81919fe67de2276ab381/download; Cover letter: https://chatgpt.com/api/library/files/libfile_9edec6e7203881919c3cd660656fb457/download,2026-09-07T06:48:43Z,Library
stepstone-de_14317130,K:stepstone-de_14317130,Specialist (m/w/d) Financial Risk Management,KNDS,Germany,München,https://www.stepstone.de/stellenangebote--Specialist-m-w-d-Financial-Risk-Management-Muenchen-KNDS--14317130-inline.html,6.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_b52f71053678819185da32c1de249095/download; DOCX: https://chatgpt.com/api/library/files/libfile_7dc29f40a0608191a410cceab3b182e0/download; Cover letter: https://chatgpt.com/api/library/files/libfile_9edec6e7203881919c3cd660656fb457/download,2026-09-07T09:00:00Z,Library
efinancialcareers_24740258,,Consultant / Senior Consultant - Risk Consulting - Finanzielle Gesamtbanksteuerung,EY,Switzerland,Zurich,https://careers.ey.com/ey/job/Zurich-Consultant-Senior-Consultant-Risk-Consulting-Finanzielle-Gesamtbanksteuerung-8005/1432995533/,2.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_9544848d94208191888854f6bab82113/download; DOCX: https://chatgpt.com/api/library/files/libfile_9deb9947c3bc819199cc09356299b073/download; Cover letter: https://chatgpt.com/api/library/files/libfile_2d2e35db26348191b1108d94951fa1dd/download,2026-09-07T08:14:10Z,Library
stepstone-de_14314571,K:stepstone-de_14314571,"Spezialist Risk Management (m/w/d) mit Schwerpunkt Risk Reporting, Automation & Data Analysis in Vollzeit",Airbus Bank GmbH,Germany,München,,2.0,Revision requested,PDF: https://chatgpt.com/api/library/files/libfile_300765405a5c81919f867261931c336c/download; DOCX: https://chatgpt.com/api/library/files/libfile_44e1f503c6c481918a0412259ad64d8d/download; Cover letter: https://chatgpt.com/api/library/files/libfile_44070dd08644819182cdf35a08fc13d7/download,2026-09-07T08:14:10Z,Library
stepstone-de_14428838,K:stepstone-de_14428838,M&A Consultant (m/w/d) Unternehmensgruppe,Fonds Finanz Maklerservice GmbH,Germany,München,,2.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_81b07f021dc08191b4198eb2f20b80bf/download; DOCX: https://chatgpt.com/api/library/files/libfile_fd06198c1904819185d9e2c825579f2f/download; Cover letter: https://chatgpt.com/api/library/files/libfile_ae70cf1d71688191bf74c603384de4d9/download,2026-09-07T08:14:10Z,Library
efinancialcareers_24697631,K:efinancialcareers_24697631,Quant & Analytics Consultant - Financial Services Risk Consulting,EY,Switzerland,Zurich,,2.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_ade057ff598481919970819c1e1816d7/download; DOCX: https://chatgpt.com/api/library/files/libfile_7feec1f9539c8191afded6f3fc15394f/download; Cover letter: https://chatgpt.com/api/library/files/libfile_04cbd21548fc819188096d73db09bff7/download,2026-09-07T08:14:10Z,Library
efinancialcareers_24738611,K:efinancialcareers_24738611,Market and Liquidity Risk Model Validation (all genders),Erste Group Bank AG,Austria,Vienna,,2.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_6dcc6d389e048191be2a09e1b3fde28d/download; DOCX: https://chatgpt.com/api/library/files/libfile_37aacbc047e88191b51de275971e28b9/download; Cover letter: https://chatgpt.com/api/library/files/libfile_ff67b71e5a3881919b67e26cf0d2ca78/download,2026-09-07T08:14:10Z,Library
stepstone-de_14312857,K:stepstone-de_14312857,Senior Spezialist Asset Based Financing - Aviation (m/w/d) in Vollzeit,Airbus Bank GmbH,Germany,München,https://karriereportal.airbusbank.com/Senior-Spezialist-Asset-Based-Financing-Aviation-mwd-in-Vo-de-j256.html,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_292258c1b6448191be66c4104e91de8b/download; DOCX: https://chatgpt.com/api/library/files/libfile_13653626386481918a6906ff0924a4d6/download; Cover letter: https://chatgpt.com/api/library/files/libfile_f8ea4c77775c8191a38061456b1fc0bf/download,2026-09-07T08:14:10Z,Library
efinancialcareers_24436784,K:efinancialcareers_24436784,M&A - Associate (f/m/x),MP Corporate Finance GmbH,Austria,Vienna,https://www.mp-corporatefinance.com/vacancies/associate/,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_19cc3b7fb27881919ce564434ef17200/download; DOCX: https://chatgpt.com/api/library/files/libfile_747bcefc0134819183f608287d03c1bb/download; Cover letter: https://chatgpt.com/api/library/files/libfile_f5b5de4b99148191b9b16ead3a3cf0a1/download,2026-09-07T08:14:10Z,Library
indeed-fi_d463280abdf30a59,K:indeed-fi_d463280abdf30a59,"Controller, FX Hedging",Wärtsilä,Finland,Helsinki,https://careers.wartsila.com/job/Helsinki-Controller%2C-FX-Hedging/1432811533/,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_4883bf00542081918078020a5108a593/download; DOCX: https://chatgpt.com/api/library/files/libfile_b664903470e88191935e7e520cf67e7a/download; Cover letter: https://chatgpt.com/api/library/files/libfile_cd37e9209dac8191a258c97f8f97c1aa/download,2026-09-07T08:14:10Z,Library
indeed-fi_5b136c27327ba372,K:indeed-fi_5b136c27327ba372,"Associate / Senior Associate, Corporate Finance",Deloitte,Finland,Helsinki,https://jobs.smartrecruiters.com/DeloitteNordic/744000147429419-associate-senior-associate-corporate-finance,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_290bf2a419848191b27dc2f1da59fca5/download; DOCX: https://chatgpt.com/api/library/files/libfile_4203f6d869748191b18972a6193168ab/download; Cover letter: https://chatgpt.com/api/library/files/libfile_2f30211617648191ba4bb752576cfc8e/download,2026-09-07T08:14:10Z,Library
db0bb9c3f71f3d9b,K:db0bb9c3f71f3d9b,Treasury Manager Payments & Financial Risk Management (m/w/d),REMA TIP TOP AG,Germany,"Poing bei München, Bayern, DE",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003493712-S,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_3431360fc6ac8191b1ae6127b9e45139/download; DOCX: https://chatgpt.com/api/library/files/libfile_293b7db914408191ab4a21ec6b625053/download; Cover letter: https://chatgpt.com/api/library/files/libfile_8883d4f4f3b48191b02392c836e4b2e2/download,2026-09-08T13:31:09Z,Library
9967310ba0e11bf7,K:9967310ba0e11bf7,"Treasury Manager (w/m), 80-100%, Rorschach",Würth Management AG,Switzerland,"Churerstrasse 10, 9400 Rorschach, Churerstrasse 10, 9400 Rorschach, CH",https://www.jobwinner.ch/job/14692761,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_32259438752c8191993c913dc325c994/download; DOCX: https://chatgpt.com/api/library/files/libfile_33b0b18b6538819193d0f3617c05a157/download; Cover letter: https://chatgpt.com/api/library/files/libfile_7826a3022ba081918b846f7fdd37decb/download,2026-09-08T13:39:26Z,Library
b8ad6d80c543af15,K:b8ad6d80c543af15,Treasury Spezialist:in - Schwerpunkt Wertpapierhandel,Oberbank AG,Austria,"Linz, Oberösterreich, AT; Linz, Österreich",https://www.karriere.at/jobs/7859168,1.0,Ready for review,PDF: https://chatgpt.com/api/library/files/libfile_d22acd69e3908191833f73a9c61bfb1b/download; DOCX: https://chatgpt.com/api/library/files/libfile_1504721570e0819191059b6c1ec6fbba/download; Cover letter: https://chatgpt.com/api/library/files/libfile_dafcdbeed6d4819190b61442439f25b1/download,2026-09-08T13:39:26Z,Library
