synced_at,canonical_company_id,company,rating,source_files,source_ids,status,cadence_days,career_url,note
2026-08-26T13:45:43.083490+00:00,maersk,A.P. Moller - Maersk,A,job_sources_corporate.csv,maersk-global,active_existing_source,7,https://maersk.wd3.myworkdayjobs.com/Maersk_Careers,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,ap-moller-holding,A.P. Moller Holding,A,job_sources_holdings.csv,ap-moller-holding-global,active_existing_source,7,https://apmoller.com/careers/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,abb,ABB,A,job_sources_corporate.csv,abb-global,active_existing_source,7,https://careers.abb/global/en/search-results,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,aqr,AQR Capital Management,A,job_sources_specialist_funds.csv,aqr-global,active_existing_source,7,https://www.aqr.com/About-Us/Careers,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,advent-international,Advent International,A,job_sources_pe.csv,advent-global,active_existing_source,7,https://www.adventinternational.com/careers/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,airbus,Airbus,A,job_sources_corporate.csv,airbus-global,active_existing_source,7,https://ag.wd3.myworkdayjobs.com/Airbus,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,alixpartners,AlixPartners,A,job_sources_consulting.csv,alixpartners-global,active_existing_source,7,https://job-boards.greenhouse.io/alixpartners,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,allianz-group,Allianz Group,A,job_sources_financial_services.csv,allianz-group-global,active_existing_source,7,https://careers.allianz.com/global/en,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,altor,Altor,A,job_sources_pe.csv,altor-global,active_existing_source,7,https://careers.altor.com/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,alvarez-marsal,Alvarez & Marsal,A,job_sources_consulting.csv,alvarez-marsal-global,active_existing_source,7,https://careers.alvarezandmarsal.com/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,ardian,Ardian,A,job_sources_pe.csv,ardian-global,active_existing_source,7,https://ardian.wd103.myworkdayjobs.com/ArdianCareers,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,ares,Ares Management,A,job_sources_pe.csv,ares-global,active_existing_source,7,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,axcel,Axcel,A,job_sources_pe.csv,axcel-global,active_existing_source,7,https://axcel.dk/career/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,bae-systems,BAE Systems,A,job_sources_corporate.csv,bae-systems-global,active_existing_source,7,https://jobsearch.baesystems.com/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,bawag,BAWAG Group,A,job_sources_financial_services.csv,bawag-global,active_existing_source,7,https://jobs.bawaggroup.at,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
2026-08-26T13:45:43.083490+00:00,bc-partners,BC Partners,A,job_sources_pe.csv,bc-partners-global,active_existing_source,7,https://www.bcpartners.com/careers/,Cadence/enabled synced from A; calibrated adapter and seed URL preserved.
